OST_BK,topic_100
82879837,40
82906543,110
82910689,-1
82936072,101
83123272,47
83169845,-1
83237771,1
83333829,-1
83362291,20
83394407,58
83411085,-1
83806245,-1
84159373,-1
84249089,2
84655236,25
84661929,-1
84709385,25
84722726,67
85241955,89
85255506,2
85587215,-1
85640094,131
86179915,1
86268894,-1
86289019,28
86335984,-1
86485608,82
86499709,101
86504912,21
86873353,-1
87070886,21
87233477,4
87308966,4
87446233,23
87657392,-1
87890834,40
88048957,125
88539492,95
88639091,132
88758414,10
88773756,-1
88812970,-1
88817500,14
88817675,85
88845190,-1
88950709,143
89985248,50
90296453,47
90314523,-1
90484900,1
90554426,125
90824066,2
90891625,82
91100317,-1
91183082,39
91228097,-1
91292913,140
91353101,5
91354887,50
91396348,9
91447672,-1
91731233,-1
92021702,46
92095444,-1
92131900,1
92390574,101
92415112,-1
92607205,85
92716121,5
92719719,9
92807506,106
92808811,-1
92885251,85
92895919,40
92972055,91
93045320,1
93126572,-1
93245976,122
93296230,135
93305747,-1
93359201,95
93377791,76
93382769,106
93387124,28
93431462,-1
93438329,20
93469212,40
93493322,17
93510258,6
93517010,97
93533315,37
93534882,135
93589928,-1
93627925,119
93642336,-1
93703668,5
93772473,-1
93834258,-1
93885389,80
94073143,28
94259585,95
94300740,4
94315188,38
94322259,-1
94328722,33
94418915,23
94424537,36
94463904,119
94613571,-1
94653148,-1
94653199,95
94667293,-1
94673704,66
94713319,-1
94861359,14
94955126,5
95089689,4
95092899,50
95165376,131
95278131,2
95302581,8
95347758,8
95454343,2
95575515,10
95620848,76
95630062,119
95812994,25
96196716,28
96253348,2
96263583,40
96267956,24
96444405,118
96445330,4
96615285,-1
96647588,101
96742835,-1
96932459,110
96936191,-1
96939732,25
96980712,50
97034994,40
97102652,-1
97186513,53
97218516,23
97283732,-1
97308630,76
97335662,-1
97419730,40
97611737,9
97615642,6
97649469,-1
97719359,33
97746424,17
97816307,33
97832997,131
97849088,54
97855535,23
97867390,2
97872842,131
97874632,4
97894293,131
97908535,28
97914056,33
97956885,40
97961507,33
97976856,4
98036317,95
98073214,31
98141510,-1
98150566,6
98172589,122
98229814,5
98231884,4
98298301,1
98355044,-1
98360939,33
98404760,1
98413366,122
98423903,28
98489916,4
98559207,-1
98568035,92
98613786,25
99063635,37
99076100,23
99175049,-1
99240656,1
99324643,50
99365896,9
99370110,-1
99371774,-1
99459377,8
99501651,87
99518981,28
99523935,33
99625305,-1
99721461,119
99748595,-1
99754012,74
99760995,-1
99939506,-1
99940635,-1
99958841,106
99979552,131
99983032,29
99997872,36
100007930,20
100019993,40
100049350,-1
100092813,2
100113696,5
100161717,9
100172987,4
100175203,-1
100176394,49
100177102,-1
100188409,-1
100199123,-1
100225112,-1
100228795,42
100368564,8
100427338,9
100463830,-1
100501465,-1
100575126,8
100597129,17
100644316,31
100653731,33
100667563,-1
100798403,8
100817636,50
100872828,-1
100919946,5
100980552,4
101008365,-1
101112628,89
101175717,50
101184939,28
101221995,28
101249638,25
101261642,9
101263548,25
101265335,76
101288940,-1
101295817,33
101343330,-1
101390546,17
101407230,4
101426183,-1
101433732,75
101451452,-1
101479402,-1
101492887,25
101513709,21
101517981,65
101518530,-1
101523290,131
101534596,21
101557151,65
101557301,91
101563661,-1
101568298,97
101572619,40
101577915,33
101588634,8
101604121,17
101613332,6
101619071,-1
101620869,6
101624161,39
101648158,-1
101657654,-1
101661770,64
101662271,4
101664861,-1
101668446,23
101673274,33
101684859,6
101699867,4
101700356,-1
101713911,122
101724021,-1
101751249,-1
101770999,-1
101813518,32
101836217,-1
101846728,50
101848538,-1
101852917,4
101880263,9
101886803,-1
101889945,106
101900949,33
101907891,40
101908664,23
101926702,-1
13665855,-1
14042744,-1
14217381,76
14729484,40
14866439,-1
15019451,143
15748391,40
16175708,-1
16897350,-1
17106662,134
17444200,30
18444187,-1
18592933,28
18877420,47
19187880,89
19334706,54
19335477,-1
19748484,-1
20503020,89
20750954,-1
20777124,28
21076297,-1
23621343,-1
23750739,39
24639859,91
24775406,84
24901175,-1
24916092,28
25271038,28
25824815,5
27738227,50
28129019,54
28143328,6
28219424,97
28430655,110
29570935,125
30014591,4
30253238,5
30285155,122
30369968,28
30380345,20
30890097,33
31692569,-1
31829138,5
31849941,95
32938677,33
32995353,54
33339206,65
33427328,132
33552395,125
33834451,-1
33877100,1
34199446,-1
34234806,-1
34277980,0
34286929,23
34341695,-1
34911683,28
35369704,-1
36519578,-1
36754063,5
37290073,6
37354377,28
37691088,54
37820740,37
38163399,1
38704798,65
38900253,47
39060602,37
39152951,76
39499853,-1
40039256,2
40042086,37
40098869,17
40474728,97
41125755,23
41134189,-1
41280581,132
42037400,23
42199857,4
42562102,-1
42625816,-1
42736517,28
42989080,2
43478498,28
43843663,37
43945465,-1
44052904,39
44286834,4
44631553,-1
44762386,-1
44796091,-1
45058471,58
45888048,37
45944195,122
46506948,-1
46714478,132
46843704,25
47012514,-1
47106746,31
47458868,4
47889974,2
48032967,4
48205657,29
48225756,5
48371360,1
48412353,1
48681122,84
48884054,-1
49077508,5
49206570,25
49586551,-1
49757255,-1
49953881,28
50024460,5
50122698,96
50372735,-1
50392478,2
50409257,82
50610144,28
50640118,137
50896259,109
50920879,8
50953640,-1
50998440,-1
51092477,-1
51128569,-1
51236170,37
51403331,2
51483257,14
51548772,10
51579276,28
52021627,54
52197246,4
52312426,-1
52555591,2
53945848,19
54059631,-1
54147680,33
54151344,-1
54186861,17
54283322,20
54497476,125
54655186,21
54825842,4
54843282,4
55127538,1
55142102,6
55252386,33
55269515,-1
55284978,137
55306712,-1
55492547,89
55497845,-1
55584744,76
55834883,5
55852968,72
55887798,2
56048633,-1
56257309,-1
56354601,89
56426834,25
56476569,32
56565250,-1
56854109,5
56863106,28
57091012,-1
57172385,31
57348125,-1
57354353,-1
57386034,72
57426334,119
57574716,37
57736661,17
57767572,5
58262600,-1
58480463,25
58759860,20
58765058,23
58805743,91
58885062,-1
58947612,-1
58980449,37
58996932,2
59164422,5
59273988,96
59401926,97
59619173,4
59687446,36
59691432,-1
59752088,122
59760160,-1
59876295,4
59926219,-1
59989677,8
60246064,61
60383985,15
60480751,95
60498063,5
60741145,-1
60831923,37
60909465,-1
61128162,-1
61153462,97
61337687,20
61436231,-1
61506257,5
61627823,31
61632773,37
61943300,-1
62086588,76
62344324,-1
62395378,-1
62405558,37
62470470,-1
62591329,110
62684617,97
62810237,20
62894330,95
63045929,-1
63052279,-1
63074019,37
63372969,5
63907141,33
64223960,2
64366255,47
64386889,-1
64614656,33
64700348,-1
64769705,131
64852800,15
65036022,-1
65050083,-1
65052047,17
65316581,-1
65384025,91
65419799,119
65423098,39
65449231,97
65512216,1
65605177,-1
65617391,5
65641830,5
65680120,20
65682797,5
65707785,2
65741141,-1
65893061,54
66032350,-1
66091934,-1
66184417,-1
66226028,8
66298968,28
66755160,96
66846283,68
66955230,-1
67165864,-1
67236513,5
67240843,67
67375647,8
67397259,31
67414282,-1
67454111,-1
67527248,23
67607337,44
67732017,5
67788937,-1
67979070,17
68053571,29
68078784,96
68113972,19
68339558,15
68377168,-1
68595534,125
68709512,9
68928635,-1
69004319,-1
69053744,96
69145817,65
69346690,-1
69366409,6
69517276,27
69554750,72
69872886,23
70280195,-1
70441094,33
70588815,-1
70715262,97
70923097,75
70969276,-1
71191838,36
71201168,17
71449081,28
71566421,20
71587135,125
71677534,57
71744147,-1
71863603,47
72072342,1
72162752,110
72219286,50
72279910,36
72378564,-1
72534832,29
72549968,23
72628069,5
72701696,58
72806321,-1
72917365,9
72921251,33
73203924,-1
73265059,27
73277978,4
74009448,-1
74031307,28
74051443,80
74121846,28
74182706,-1
74251304,-1
74455081,-1
74798070,-1
74817515,6
74918134,-1
75228178,-1
75337788,95
75514374,-1
75520067,-1
75556924,47
75560743,15
75781290,10
75836315,0
75916205,97
76016520,-1
76017121,-1
76029151,2
76292457,-1
76323045,4
76401165,97
76441986,2
76474779,119
76673316,8
76686672,25
76817562,20
76850279,-1
77016251,-1
77058211,5
77190786,91
77191805,1
77296148,101
